cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(1a);[player] [dist] Alley Oop Dunk (cnt PTS) ([player] cnt AST);13431;118.63;141.01;760.49;770.95;746.58;761.18;30.51;34.19;35.14;1088.41;1182.93;1217.85;1139.2;1139.83;1030.3;1053.11
_1(1a);[player] Alley Oop Dunk (cnt PTS) ([player] cnt AST);7982;678.33;652.44;157.89;185.29;214.61;214.56;1014.49;1042.55;1057.3;147.1;134.91;162.73;159.69;160.24;121.21;113.55
_1(1a);[player] [dist] Running Dunk (cnt PTS) ([player] cnt AST);7790;6.08;16.77;95.35;95.9;105.02;81.12;2.29;53.95;49.66;604.42;763.72;705.16;817.25;965.99;1228.03;1265.57
_1(1a);[player] [dist] Driving Dunk (cnt PTS) ([player] cnt AST);6826;45.63;85.37;280.7;283.05;313.55;347.99;18.31;30.4;16.04;567.07;656.25;636.05;568.74;605.44;666.67;635.53
_1(1a);[player] Cutting Dunk Shot (cnt PTS) ([player] cnt AST);5832;NA;NA;NA;NA;NA;NA;NA;1193.01;1637.89;232.47;287.35;270.34;263.88;281.18;234.85;249.08
_1(1a);[player] [dist] Slam Dunk (cnt PTS) ([player] cnt AST);5367;241.06;221.8;1005.34;1000.93;929.98;855.95;11.44;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] Slam Dunk (cnt PTS) ([player] cnt AST);5143;1125.48;905.49;202.9;200.19;208.52;219.86;1090.77;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] Driving Dunk (cnt PTS) ([player] cnt AST);3701;304.94;310.21;48.05;42.83;81.43;89.46;364.61;534.95;553.86;64.79;90.7;89.24;83.69;72.56;74.24;98.9
_1(1a);[player] Running Dunk (cnt PTS) ([player] cnt AST);3271;131.56;113.57;26.7;40.97;30.44;29.57;132.72;592.71;661.57;76.98;89.94;113.74;118.7;160.24;132.58;175.82
_1(1a);[player] [dist] Running Alley Oop Dunk Shot (cnt PTS) ([player] cnt AST);1461;NA;NA;NA;NA;NA;NA;NA;6.84;4.58;83.08;92.99;127.73;147.74;238.85;297.73;342.49
_1(1a);[player] [dist] Driving Slam Dunk (cnt PTS) ([player] cnt AST);1163;80.61;60.98;191.46;156.42;197.87;222.14;3.81;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] Driving Slam Dunk (cnt PTS) ([player] cnt AST);954;123.19;114.33;32.04;38.18;50.23;60.65;315.03;NA;NA;NA;NA;NA;NA;NA;NA;NA
