cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(3a);[player] [dist] Running Finger Roll Layup (cnt PTS) ([player] cnt AST);2789;4.56;12.2;32.8;21.42;28.92;35.63;45;112.46;135.22;141.77;199.7;233.6;251.92;325.77;399.24;483.52
_1(3a);[player] Reverse Layup (cnt PTS) ([player] cnt AST);2656;622.05;702.74;91.53;85.66;70.78;75.82;86.96;56.99;58.82;35.82;35.06;33.25;31.6;28.72;21.21;20.15
_1(3a);[player] [dist] Finger Roll Layup (cnt PTS) ([player] cnt AST);2418;34.22;49.54;153.32;167.6;146.12;153.9;160.18;157.29;153.55;146.34;141.77;114.61;95.64;86.17;89.39;111.72
_1(3a);[player] [dist] Running Reverse Layup (cnt PTS) ([player] cnt AST);1780;5.32;21.34;38.9;23.28;35.01;41.7;51.87;85.87;93.2;107.47;118.9;114.61;151.15;195.01;230.3;179.49
_1(3a);[player] Cutting Layup Shot (cnt PTS) ([player] cnt AST);1525;NA;NA;NA;NA;NA;NA;NA;152.74;185.64;167.68;136.43;161.85;131.51;120.94;101.52;89.74
_1(3a);[player] Running Layup (cnt PTS) ([player] cnt AST);1511;212.93;135.67;17.54;33.52;31.96;27.29;26.7;116.26;78.69;71.65;71.65;51.62;80.27;82.39;90.91;100.73
_1(3a);[player] Alley Oop Layup (cnt PTS) ([player] cnt AST);1328;273.76;286.59;42.72;41.9;39.57;34.87;38.14;48.63;54.24;25.15;24.39;33.25;26.47;26.46;22.73;16.48
_1(3a);[player] Driving Finger Roll Layup (cnt PTS) ([player] cnt AST);693;139.92;102.9;2.29;6.52;8.37;9.86;18.31;31.16;21.39;17.53;38.87;29.75;24.77;34.01;27.27;53.11
_1(3a);[player] Driving Reverse Layup (cnt PTS) ([player] cnt AST);565;103.42;104.42;10.68;12.1;10.65;12.89;15.26;14.44;23.68;14.48;25.91;19.25;25.62;16.63;18.18;23.81
_1(3a);[player] Finger Roll Layup (cnt PTS) ([player] cnt AST);514;132.32;112.04;12.2;22.35;15.98;10.61;21.36;17.48;18.33;6.86;7.62;4.37;6.83;3.78;4.55;NA
_1(3a);[player] [dist] Running Alley Oop Layup Shot (cnt PTS) ([player] cnt AST);506;NA;NA;NA;NA;NA;NA;NA;20.52;29.79;31.25;33.54;22.75;58.07;77.85;87.88;76.92
_1(3a);[player] Running Finger Roll Layup (cnt PTS) ([player] cnt AST);254;12.93;19.05;4.58;NA;1.52;3.03;6.86;15.2;18.33;14.48;18.29;14;16.23;16.63;26.52;21.98
_1(3a);[player] Cutting Finger Roll Layup Shot (cnt PTS) ([player] cnt AST);213;NA;NA;NA;NA;NA;NA;NA;23.56;30.56;18.29;21.34;15.75;22.2;15.87;13.64;12.82
_1(3a);[player] Running Reverse Layup (cnt PTS) ([player] cnt AST);157;18.25;18.29;2.29;3.72;4.57;6.07;0.76;10.64;6.11;8.38;6.86;6.12;11.1;7.56;7.58;9.16
_1(3a);[player] Running Alley Oop Layup Shot (cnt PTS) ([player] cnt AST);46;NA;NA;NA;NA;NA;NA;NA;1.52;0.76;4.57;5.34;0.87;9.39;6.05;4.55;7.33
_1(3a);[player] [dist] Putback Layup (cnt PTS) ([player] cnt AST);43;1.52;0.76;1.53;3.72;4.57;6.07;3.81;4.56;4.58;1.52;NA;NA;NA;NA;0.76;NA
_1(3a);[player] [dist] Tip Shot (cnt PTS) ([player] cnt AST);16;0.76;1.52;3.05;2.79;0.76;3.03;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3a);[player] [dist] Tip Layup Shot (cnt PTS) ([player] cnt AST);4;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;1.52;NA;NA;NA;NA;NA;NA
_1(3a);[player] Putback Layup (cnt PTS) ([player] cnt AST);4;1.52;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3a);[player] Tip Shot (cnt PTS) ([player] cnt AST);4;1.52;1.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(3a);[player] [dist] Running Tip Shot (cnt PTS) ([player] cnt AST);1;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] [dist] Jump Shot (cnt PTS);71435;7546.77;7072.41;6621.66;6158.29;5260.27;5366.19;5088.48;3391.34;3025.97;2146.34;1127.29;893.26;892.4;570.67;395.45;391.94
_1(4);[player] [dist] Pullup Jump Shot (cnt PTS);50647;1286.69;1477.13;1584.29;1583.8;1732.88;1899.92;1787.95;3077.51;3512.61;3500.76;3388.72;3192.48;3504.7;3376.42;3475.76;2961.54
_1(4);[player] [dist] Driving Floating Jump Shot (cnt PTS);17343;NA;NA;NA;NA;NA;NA;NA;683.89;932.77;1175.3;1569.36;1919.51;2058.92;1993.2;2450;2097.07
_1(4);[player] [dist] Step Back Jump Shot (cnt PTS);16642;353.61;435.98;447.75;523.28;580.67;785.44;773.46;1104.1;1049.66;1081.55;1091.46;1089.24;1115.29;1086.17;1111.36;934.07
_1(4);[player] [dist] Fadeaway Jumper (cnt PTS);16621;1049.43;996.95;938.22;922.72;821.16;750.57;718.54;765.2;760.89;715.7;793.45;738.41;864.22;866.97;904.55;954.21
_1(4);[player] [dist] Floating Jump Shot (cnt PTS);15069;491.25;621.19;693.36;833.33;805.18;782.41;832.19;1185.41;957.22;857.47;775.15;773.4;778.82;625.85;553.03;575.09
_1(4);[player] [dist] Turnaround Jump Shot (cnt PTS);14317;828.9;852.13;848.97;827.75;780.82;743.75;737.6;780.4;758.59;726.37;618.14;605.42;631.94;613.76;598.48;576.92
_1(4);[player] [dist] Turnaround Fadeaway (cnt PTS);10643;320.91;328.51;295.96;341.71;366.06;347.23;370.71;481.76;570.66;673.02;681.4;657.04;771.14;830.69;892.42;954.21
_1(4);[player] [dist] Running Jump Shot (cnt PTS);9624;1176.43;1047.26;926.01;962.76;831.05;862.77;772.69;297.11;245.23;134.15;80.03;42.87;38.43;41.57;37.12;38.46
_1(4);[player] [dist] Driving Floating Bank Jump Shot (cnt PTS);6496;NA;NA;NA;NA;NA;NA;NA;201.37;275.02;626.52;665.4;763.78;661.83;696.9;885.61;800.37
_1(4);[player] [dist] Jump Bank Shot (cnt PTS);6067;456.27;483.23;522.5;460.89;425.42;429.87;422.58;417.17;331.55;176.83;159.3;144.36;129.8;71.05;70.45;82.42
_1(4);[player] [dist] Running Bank Shot (cnt PTS);2865;292.02;336.13;327.23;310.99;281.58;348.75;340.96;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] [dist] Driving Jump Shot (cnt PTS);2508;111.03;146.34;322.65;275.61;311.26;370.74;417.24;2.28;2.29;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] [dist] Driving Bank Shot (cnt PTS);1865;56.27;51.83;99.16;99.63;128.61;137.23;174.68;369.3;321.62;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] [dist] Turnaround Bank Shot (cnt PTS);1639;114.07;110.52;127.38;128.49;124.05;136.47;122.04;120.82;129.87;NA;NA;NA;NA;NA;107.58;119.05
_1(4);[player] [dist] Turnaround Fadeaway Bank Jump Shot (cnt PTS);1174;NA;NA;NA;NA;NA;NA;NA;17.48;18.33;198.17;165.4;153.11;161.4;165.53;40.91;23.81
_1(4);[player] [dist] Running Pull-Up Jump Shot (cnt PTS);997;NA;NA;NA;NA;NA;NA;NA;57.75;97.78;86.13;89.18;79.62;66.61;91.46;145.45;148.35
_1(4);[player] [dist] Fadeaway Bank Shot (cnt PTS);676;44.87;44.97;50.34;54;55.56;35.63;44.24;55.47;52.71;NA;NA;NA;NA;NA;58.33;67.77
_1(4);[player] [dist] Pullup Bank Shot (cnt PTS);650;29.66;41.16;45;42.83;38.05;50.04;37.38;96.5;122.23;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] [dist] Step Back Bank Jump Shot (cnt PTS);179;NA;NA;NA;NA;NA;NA;NA;17.48;16.81;19.82;7.62;18.37;21.35;12.09;21.21;14.65
_1(4);[player] [dist] No Shot (cnt PTS);39;NA;NA;NA;NA;NA;NA;NA;NA;29.79;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Floating Jump Shot (cnt PTS);25;0.76;2.29;NA;NA;NA;NA;NA;NA;NA;1.52;0.76;1.75;2.56;3.78;4.55;3.66
_1(4);[player] Driving Floating Jump Shot (cnt PTS);20;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;2.29;1.52;4.37;1.71;2.27;0.76;3.66
_1(4);[player] Driving Floating Bank Jump Shot (cnt PTS);16;NA;NA;NA;NA;NA;NA;NA;NA;0.76;2.29;2.29;0.87;3.42;0.76;0.76;3.66
_1(4);[player] [dist] Shot (cnt PTS);14;NA;NA;NA;NA;NA;NA;NA;3.8;6.88;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Jump Shot (cnt PTS);11;2.28;1.52;NA;NA;NA;NA;NA;NA;NA;NA;1.52;NA;0.85;1.51;0.76;NA
_1(4);[player] Driving Jump Shot (cnt PTS);6;2.28;0.76;NA;NA;0.76;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Jump Bank Shot (cnt PTS);5;0.76;1.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;0.76;NA;NA
_1(4);[player] Running Jump Shot (cnt PTS);5;0.76;0.76;NA;NA;NA;0.76;0.76;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Turnaround Jump Shot (cnt PTS);5;1.52;0.76;NA;NA;0.76;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA
_1(4);[player] No Shot (cnt PTS);4;NA;NA;NA;NA;NA;NA;NA;NA;3.06;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Running Bank Shot (cnt PTS);4;1.52;1.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Shot (cnt PTS);2;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Fadeaway Bank Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_1(4);[player] Fadeaway Jumper (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_1(4);[player] Pullup Jump Shot (cnt PTS);1;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Step Back Jump Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA
_1(4);[player] Turnaround Bank Shot (cnt PTS);1;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4);[player] Turnaround Fadeaway (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA
_1(4a);[player] [dist] Jump Shot (cnt PTS) ([player] cnt AST);127643;10880.61;10664.63;11518.69;10821.23;10245.05;9546.63;9130.43;7168.69;5846.45;4047.26;2671.49;1956.26;1708.8;1476.95;1325;1380.95
_1(4a);[player] [dist] Pullup Jump Shot (cnt PTS) ([player] cnt AST);23907;367.3;419.21;498.09;467.41;636.99;598.94;718.54;1165.65;1346.07;1762.2;1961.13;1813.65;2080.27;1965.99;2060.61;2086.08
_1(4a);[player] [dist] Floating Jump Shot (cnt PTS) ([player] cnt AST);13244;175.67;223.32;304.35;293.3;414.76;460.96;546.91;851.06;779.98;792.68;905.49;940.51;1128.95;1123.96;1031.06;956.04
_1(4a);[player] [dist] Driving Floating Jump Shot (cnt PTS) ([player] cnt AST);10574;NA;NA;NA;NA;NA;NA;NA;247.72;365.93;621.95;1012.2;1166.23;1272.42;1353.74;1575;1706.96
_1(4a);[player] [dist] Turnaround Jump Shot (cnt PTS) ([player] cnt AST);8413;527;500.76;514.11;405.96;437.6;406.37;346.3;451.37;443.85;393.29;405.49;405.07;408.2;392.29;381.06;369.96
_1(4a);[player] [dist] Fadeaway Jumper (cnt PTS) ([player] cnt AST);6344;323.19;397.1;357.74;326.82;309.74;257.77;286.04;296.35;279.6;300.3;365.09;308.84;290.35;313.68;372.73;415.75
_1(4a);[player] [dist] Step Back Jump Shot (cnt PTS) ([player] cnt AST);4684;101.9;166.92;177.73;139.66;227.55;178.17;220.44;285.71;236.82;277.44;320.12;293.96;292.91;293.27;311.36;324.18
_1(4a);[player] [dist] Jump Bank Shot (cnt PTS) ([player] cnt AST);4619;284.41;320.88;401.22;345.44;341.7;338.13;343.25;303.19;240.64;166.92;147.87;117.24;88.81;84.66;57.58;53.11
_1(4a);[player] [dist] Running Jump Shot (cnt PTS) ([player] cnt AST);4064;358.17;344.51;353.93;337.06;356.93;395;382.91;174.77;135.98;76.98;54.88;37.62;32.45;46.11;54.55;51.28
_1(4a);[player] [dist] Driving Floating Bank Jump Shot (cnt PTS) ([player] cnt AST);3479;NA;NA;NA;NA;NA;NA;NA;62.31;97.02;243.14;363.57;385.83;400.51;405.9;538.64;578.75
_1(4a);[player] [dist] Turnaround Fadeaway (cnt PTS) ([player] cnt AST);3275;120.91;134.15;93.06;123.84;120.24;95.53;116.7;149.7;174.94;205.79;236.28;209.1;200.68;222.22;253.79;254.58
_1(4a);[player] [dist] Running Bank Shot (cnt PTS) ([player] cnt AST);934;62.36;84.6;92.3;90.32;115.68;120.55;161.71;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] [dist] Driving Jump Shot (cnt PTS) ([player] cnt AST);913;38.02;44.21;114.42;72.63;121.77;162.24;152.56;2.28;NA;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] [dist] Turnaround Bank Shot (cnt PTS) ([player] cnt AST);754;50.95;60.21;41.95;47.49;54.03;59.14;54.16;72.95;66.46;NA;NA;NA;NA;NA;53.79;51.28
_1(4a);[player] [dist] Driving Bank Shot (cnt PTS) ([player] cnt AST);648;12.93;13.72;27.46;20.48;35.77;48.52;65.6;142.86;129.87;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] [dist] Turnaround Fadeaway Bank Jump Shot (cnt PTS) ([player] cnt AST);535;NA;NA;NA;NA;NA;NA;NA;6.84;7.64;86.89;80.03;71.74;78.57;77.85;7.58;18.32
_1(4a);[player] [dist] Running Pull-Up Jump Shot (cnt PTS) ([player] cnt AST);343;NA;NA;NA;NA;NA;NA;NA;15.96;20.63;25.91;25.15;25.37;21.35;41.57;60.61;71.43
_1(4a);[player] [dist] Pullup Bank Shot (cnt PTS) ([player] cnt AST);247;15.21;13.72;11.44;15.83;8.37;15.16;22.88;40.27;48.13;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] [dist] Fadeaway Bank Shot (cnt PTS) ([player] cnt AST);227;9.89;17.53;16.78;18.62;16.74;14.4;17.54;18.24;16.04;NA;NA;NA;NA;NA;20.45;23.81
_1(4a);[player] [dist] Step Back Bank Jump Shot (cnt PTS) ([player] cnt AST);47;NA;NA;NA;NA;NA;NA;NA;5.32;2.29;5.34;4.57;4.37;3.42;3.78;3.03;10.99
_1(4a);[player] [dist] No Shot (cnt PTS) ([player] cnt AST);33;NA;NA;NA;NA;NA;NA;NA;NA;25.21;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] No Shot (cnt PTS) ([player] cnt AST);22;NA;NA;NA;NA;NA;NA;NA;NA;16.81;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] Shot (cnt PTS) ([player] cnt AST);15;NA;NA;NA;NA;NA;NA;NA;3.8;7.64;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] Driving Floating Bank Jump Shot (cnt PTS) ([player] cnt AST);14;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;3.05;1.75;1.71;2.27;1.52;NA
_1(4a);[player] [dist] Shot (cnt PTS) ([player] cnt AST);12;NA;NA;NA;NA;NA;NA;NA;2.28;6.88;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] Jump Shot (cnt PTS) ([player] cnt AST);12;3.04;3.81;NA;NA;NA;NA;NA;NA;NA;0.76;0.76;NA;NA;0.76;NA;NA
_1(4a);[player] Driving Floating Jump Shot (cnt PTS) ([player] cnt AST);11;NA;NA;NA;NA;NA;NA;NA;NA;0.76;1.52;0.76;1.75;0.85;1.51;1.52;NA
_1(4a);[player] Running Jump Shot (cnt PTS) ([player] cnt AST);8;2.28;1.52;NA;NA;0.76;NA;NA;NA;NA;NA;NA;0.87;NA;NA;NA;1.83
_1(4a);[player] Floating Jump Shot (cnt PTS) ([player] cnt AST);4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;1.51;NA;1.83
_1(4a);[player] Turnaround Jump Shot (cnt PTS) ([player] cnt AST);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;0.85;NA;NA;NA
_1(4a);[player] Driving Bank Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(4a);[player] Running Pull-Up Jump Shot (cnt PTS) ([player] cnt AST);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_1(5);[player] [dist] 3PT Jump Shot (cnt PTS);27562;1657.03;1633.38;1545.39;1698.32;1653.73;1918.88;1817.7;1580.55;1673.8;1570.88;1329.27;1102.36;998.29;759.64;440.91;386.45
_1(5);[player] [dist] 3PT Pullup Jump Shot (cnt PTS);18784;117.87;156.25;137.3;166.67;286.91;374.53;353.93;765.2;984.72;1249.24;1587.65;1870.52;1921.43;1984.13;2011.36;1912.09
_1(5);[player] [dist] 3PT Step Back Jump Shot (cnt PTS);9416;31.18;50.3;46.53;62.38;79.15;143.29;152.56;225.68;291.83;453.51;747.71;1082.24;1146.03;1203.33;1201.52;1238.1
_1(5);[player] [dist] 3PT Running Pull-Up Jump Shot (cnt PTS);2142;NA;NA;NA;NA;NA;NA;NA;50.91;91.67;109.76;154.73;241.47;236.55;283.45;369.7;351.65
_1(5);[player] 3PT Jump Shot (cnt PTS);1500;85.17;84.6;64.84;60.52;73.06;73.54;99.16;85.87;64.17;93.75;76.22;76.99;64.9;75.59;67.42;56.78
_1(5);[player] 3PT Step Back Jump Shot (cnt PTS);605;2.28;7.62;2.29;7.45;6.85;5.31;17.54;15.2;15.28;37.35;60.21;81.36;59.78;79.37;54.55;62.27
_1(5);[player] [dist] 3PT Running Jump Shot (cnt PTS);477;6.08;9.15;6.1;7.45;10.65;9.86;6.1;30.4;58.82;47.26;41.92;30.62;37.57;35.53;17.42;42.12
_1(5);[player] [dist] 3PT Jump Bank Shot (cnt PTS);340;17.49;22.87;16.78;15.83;20.55;24.26;21.36;22.8;18.33;19.82;21.34;12.25;11.1;7.56;8.33;9.16
_1(5);[player] [dist] 3PT Fadeaway Jumper (cnt PTS);198;11.41;11.43;3.05;5.59;6.09;9.86;12.97;12.16;12.22;6.86;15.24;15.75;8.54;9.07;12.88;3.66
_1(5);[player] 3PT Pullup Jump Shot (cnt PTS);180;0.76;2.29;1.53;NA;3.04;1.52;3.05;3.8;10.7;9.91;19.05;25.37;22.2;15.12;14.39;23.81
_1(5);[player] [dist] 3PT Turnaround Jump Shot (cnt PTS);74;NA;2.29;NA;1.86;4.57;3.79;3.81;0.76;2.29;3.81;5.34;2.62;7.69;5.29;11.36;5.49
_1(5);[player] [dist] 3PT Step Back Bank Jump Shot (cnt PTS);50;NA;NA;NA;NA;NA;NA;NA;NA;0.76;2.29;3.81;9.62;9.39;7.56;6.06;1.83
_1(5);[player] 3PT Fadeaway Jumper (cnt PTS);42;NA;1.52;0.76;1.86;0.76;2.27;NA;0.76;2.29;1.52;7.62;2.62;3.42;3.78;1.52;5.49
_1(5);[player] [dist] 3PT Pullup Bank Shot (cnt PTS);32;NA;1.52;NA;NA;0.76;3.79;4.58;6.08;7.64;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] [dist] 3PT Floating Jump Shot (cnt PTS);25;NA;1.52;NA;0.93;NA;NA;1.53;3.04;3.82;1.52;0.76;0.87;2.56;0.76;1.52;1.83
_1(5);[player] 3PT Turnaround Jump Shot (cnt PTS);20;NA;NA;0.76;NA;NA;0.76;0.76;0.76;1.53;1.52;1.52;2.62;1.71;2.27;1.52;NA
_1(5);[player] [dist] 3PT Running Bank Shot (cnt PTS);17;1.52;2.29;3.05;1.86;2.28;2.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] [dist] 3PT Turnaround Fadeaway (cnt PTS);15;NA;NA;NA;NA;0.76;0.76;NA;NA;NA;0.76;1.52;NA;1.71;2.27;2.27;3.66
_1(5);[player] [dist] 3PT Turnaround Fadeaway Bank Jump Shot (cnt PTS);9;NA;NA;NA;NA;NA;NA;NA;0.76;NA;0.76;2.29;NA;0.85;1.51;NA;1.83
_1(5);[player] [dist] 3PT Driving Floating Bank Jump Shot (cnt PTS);7;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.52;0.76;NA;0.85;1.51;0.76;NA
_1(5);[player] [dist] 3PT Driving Floating Jump Shot (cnt PTS);7;NA;NA;NA;NA;NA;NA;NA;0.76;NA;1.52;NA;0.87;0.85;NA;1.52;NA
_1(5);[player] [dist] 3PT Fadeaway Bank Shot (cnt PTS);4;NA;NA;NA;1.86;0.76;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] [dist] 3PT Turnaround Bank Shot (cnt PTS);4;NA;NA;NA;0.93;NA;NA;NA;1.52;NA;NA;NA;NA;NA;NA;NA;1.83
_1(5);[player] 3PT Jump Bank Shot (cnt PTS);4;NA;NA;0.76;NA;NA;1.52;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] 3PT Running Jump Shot (cnt PTS);4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;1.71;NA;NA;1.83
_1(5);[player] 3PT Turnaround Fadeaway (cnt PTS);4;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;1.75;0.85;NA;NA;NA
_1(5);[player] [dist] 3PT No Shot (cnt PTS);2;NA;NA;NA;NA;NA;NA;NA;NA;1.53;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] 3PT Floating Jump Shot (cnt PTS);2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;0.76;NA;NA
_1(5);[player] [dist] 3PT Driving Bank Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] [dist] 3PT Driving Jump Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] [dist] 3PT Putback Layup (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA
_1(5);[player] 3PT Running Pull-Up Jump Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.76;NA
_1(5a);[player] [dist] 3PT Jump Shot (cnt PTS) ([player] cnt AST);222178;8740.68;8399.39;8484.36;8312.85;9315.83;10125.85;10206.71;10981.76;12757.83;12630.34;13153.96;13951.88;14221.18;13662.13;13189.39;13862.64
_1(5a);[player] 3PT Jump Shot (cnt PTS) ([player] cnt AST);55582;2411.41;2110.52;2229.6;2067.97;2380.52;2314.63;2367.66;2237.84;2209.32;3276.68;3445.12;3650.04;3878.74;3834.47;3578.03;3749.08
_1(5a);[player] [dist] 3PT Pullup Jump Shot (cnt PTS) ([player] cnt AST);12267;142.21;207.32;174.68;189.94;270.17;313.87;476.74;573.71;587.47;715.7;1022.87;1000.87;1127.24;1065;1222.73;1261.9
_1(5a);[player] [dist] 3PT Running Jump Shot (cnt PTS) ([player] cnt AST);5081;0.76;1.52;1.53;0.93;5.33;1.52;5.34;126.14;216.96;188.26;233.23;407.7;529.46;684.81;1043.94;1256.41
_1(5a);[player] [dist] 3PT Step Back Jump Shot (cnt PTS) ([player] cnt AST);4459;31.94;70.12;65.6;52.14;71.54;60.65;76.28;125.38;150.5;210.37;358.23;433.95;454.31;499.62;576.52;642.86
_1(5a);[player] [dist] 3PT Running Pull-Up Jump Shot (cnt PTS) ([player] cnt AST);1384;NA;NA;NA;NA;NA;NA;NA;31.91;38.96;67.07;108.99;149.61;163.11;174.6;257.58;232.6
_1(5a);[player] 3PT Running Jump Shot (cnt PTS) ([player] cnt AST);1280;NA;0.76;NA;NA;NA;0.76;0.76;18.24;21.39;44.97;56.4;107.61;149.44;175.36;281.06;349.82
_1(5a);[player] 3PT Pullup Jump Shot (cnt PTS) ([player] cnt AST);1068;28.9;58.69;37.38;31.66;48.71;62.93;77.8;79.79;51.95;54.12;67.84;56.87;62.34;43.84;50.76;45.79
_1(5a);[player] [dist] 3PT Jump Bank Shot (cnt PTS) ([player] cnt AST);891;16.73;27.44;22.12;33.52;29.68;39.42;42.72;45.59;53.48;60.98;57.93;69.99;67.46;63.49;50;47.62
_1(5a);[player] 3PT Step Back Jump Shot (cnt PTS) ([player] cnt AST);813;3.04;13.72;16.78;5.59;20.55;12.89;21.36;31.91;32.09;51.83;67.84;90.11;87.96;77.1;78.03;71.43
_1(5a);[player] [dist] 3PT Fadeaway Jumper (cnt PTS) ([player] cnt AST);282;4.56;6.1;2.29;3.72;6.85;6.07;12.2;19.76;14.51;18.29;28.2;22.75;20.5;24.94;21.21;20.15
_1(5a);[player] [dist] 3PT Turnaround Jump Shot (cnt PTS) ([player] cnt AST);166;6.08;3.05;2.29;0.93;2.28;1.52;9.15;12.92;9.93;16.77;11.43;11.37;13.66;12.09;12.88;7.33
_1(5a);[player] 3PT Fadeaway Jumper (cnt PTS) ([player] cnt AST);162;2.28;1.52;0.76;4.66;3.81;3.03;2.29;7.6;3.82;12.2;15.24;16.62;17.08;21.92;12.12;7.33
_1(5a);[player] 3PT Running Pull-Up Jump Shot (cnt PTS) ([player] cnt AST);83;NA;NA;NA;NA;NA;NA;NA;1.52;0.76;6.86;9.15;5.25;6.83;9.07;13.64;27.47
_1(5a);[player] [dist] 3PT Floating Jump Shot (cnt PTS) ([player] cnt AST);42;NA;NA;NA;0.93;0.76;1.52;1.53;3.04;6.88;3.81;3.81;1.75;4.27;2.27;0.76;3.66
_1(5a);[player] 3PT Jump Bank Shot (cnt PTS) ([player] cnt AST);38;1.52;NA;0.76;2.79;2.28;1.52;2.29;2.28;NA;1.52;3.05;1.75;2.56;5.29;2.27;NA
_1(5a);[player] 3PT Turnaround Jump Shot (cnt PTS) ([player] cnt AST);31;NA;NA;1.53;0.93;0.76;1.52;2.29;0.76;2.29;2.29;2.29;2.62;2.56;2.27;1.52;1.83
_1(5a);[player] [dist] 3PT Step Back Bank Jump Shot (cnt PTS) ([player] cnt AST);22;NA;NA;NA;NA;NA;NA;NA;1.52;NA;1.52;1.52;2.62;1.71;2.27;4.55;3.66
_1(5a);[player] [dist] 3PT Turnaround Fadeaway (cnt PTS) ([player] cnt AST);18;0.76;0.76;0.76;0.93;0.76;NA;1.53;0.76;0.76;3.05;0.76;0.87;1.71;NA;NA;1.83
_1(5a);[player] [dist] 3PT Pullup Bank Shot (cnt PTS) ([player] cnt AST);17;NA;0.76;0.76;NA;0.76;2.27;0.76;2.28;5.35;NA;NA;NA;NA;NA;NA;NA
_1(5a);[player] [dist] 3PT Running Bank Shot (cnt PTS) ([player] cnt AST);10;0.76;0.76;1.53;0.93;1.52;0.76;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
